Denominación Social Empresa Comercializadora;Denominación de la Oferta;Tipo de tarifa;Importe primeras facturas en Euros;Importe siguientes facturas en Euros;Validez;Servicios Adicionales Incluidos;Penalización;Verde;URL de la Oferta
TOTALENERGIES CLIENTES S.A.U.;A TU AIRE PROGRAMA TU AHORRO;3 Precios fijos Revisión anual;47.56;47.61;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF4AFE7F5359889DB4F20DA61BD98FEAC2EB2EC13EEDC7F9B774B9D9FC179F8A7B5078809977BCC82CE6C15BB812B867E7B3330501BFB835C8687BF2E61CFC55D29A28547AFF3F787EA239B221E2BA1E8AE4CBEC98C2649C0E3C026E556623D2C9725914B9FCD8124A3723D155C2D4E43775754B7C1C5B7E4FA1DCC7620427AD88019EC98C653377938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IMAGINA ENERGIA;IMAGINA SOLAR;1 Precio fijo Revisión anual;47.6;47.6;Válida para nuevos clientes que cumplen ciertos requisitos (ver detalle de la oferta);Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF5B96E8C5B3F3889638F89CEF9F7383B2B6E3A326DE168CD4CD4536EE59F08D0D2959A76E30E3FCC17001990D90612CAD90B15478FC4BEC66EFEB70F045092E6E04454725A95FA2C32A0CC34A389FEE62F5DB5DE7B4CB4C5992F7ECDD90449AF4FD8BF840D4765D79FA63D84201CAC1CEC3C30480D51AA2143BBD93EFCD07A060E5154C2B0ED091938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IMAGINA ENERGIA;PLAN SIN HORAS 3 AÑOS;1 Precio fijo Revisión cada tres años;47.6;47.6;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BC56E8D9E4F02F88E5011DF6198D41C771FC3B30CED77A3192F0156E11F8537190C1AE458A98A3DD42B70AEC396E0139F8A41EB79620CA8CB08B7B65CFB49E9600F515F16333341BBD056C0AD57A81F8359E16994E7FE0ACBA3D0A0842B395F598F421A0D94B5A4A63BF39A02BAD1341543406A5B978BD915CBA0E22783A0F237DECCF241C878599938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA DESCUENTO MAÑANA Y TARDE;Flexible Revisión anual;48.05;48.05;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C09C363A29910F6B6D9D57F5F5513A4BE00C429B2D0B0EDA49344496D06569D32DA62E9FE2677D46868403AAAA35138B735C6CD8DF098639B9E0DA97DD73C3EDADBEB1FDDDF0D74E41184241F95802230D87247024A3D2EC4693A7D59F2494FDEC55E842CA2472D6E18DA97CBA1E58E158B6D3D2197EBAA709494E4B98D735FE6D42DDF48AD182CF938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
WATIUM, S.L.;2.0 TD;1 Precio fijo Revisión anual;48.15;48.15;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BBAC4F2D4325BB767CFF1F2B6F90B7AD7EF716706A08297C6F809141F125A2053A91478D663381790E52D2B326BE633EAA6D3F7232C68A22E239ECC6C3751049AED0F6992C9BC07DB4D8D38DA7781E8B17CFFCF80434A250BDFC8A82DF68E8CD21010202FE79D612458BE4DE1FB533C1C5E61ADB932C43D9FCC9A0CCEFA3F23A0FFDB0B223E0DA6F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
CIDE HCENERGÍA S.A.U;Plan Ilumina Dúo Promo;1 Precio fijo Revisión trimestral;48.16;48.16;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF39BC26241A38244FC704CE5E53700406F89B98DD1294FA5141998DCCF15FC53FCB1376EF6F7F874080F96DDA0AEA2A9F0A4941B8F15C073804975B566E36A7C054C28B4EA03CBD2D1F3539E374E9D5BEAA18061DB1D0DA78337DFF386D86D9A666B384423B522A7EF133264B95D530F642BE102F852E4EDF53BFC9AFD715CFB0AEA8A81A961533938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
Orange Energía;Orange ENERGIA Tarifa precio fijo;1 Precio fijo Revisión semestral;48.37;48.37;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C123A144AFF7FCFC876527303A81484A8F0562C4543915245762F33B5607ACF2631F4761DD6D0F1C8A402457784AEF93AD760D23DF3545CE758E2AEE44CF0E08647CBCED3A1562E49943A0679466DA859EB631CF4CAFBCB3CC118F8C33AF8C0326B14A12C48903A2CDB26C4493CE2F24BABAE7A35EBE6BF3DCE9457498AEFD412E1C9084CCB47047938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
MÁSMÓVIL Energía;MASMOVIL ENERGIA Tarifa precio fijo;1 Precio fijo Revisión semestral;48.38;48.38;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C118585924C4BE85C53F2B40B4BD47200070A0163B9FE9F380DF0F584AE4D2051EAA8551B32C984AB49B219E671E7292FDF3EA72F486F5D765EA643C66DCC7DB7FECE6AE9D125742BC95588F1CD0487D67F246075EAEBE8DD647119251F94CC2B729AC96C500A23C7A04B15E96FF87F4728FE5FC98F91D2D75F146312E07ACA648B516F8C736DC7D938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGYGO;ENERGYGO Tarifa precio fijo;1 Precio fijo Revisión semestral;48.38;48.38;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C119AC389E8E89A2CD076702883DBFBB98BE5CA32F75B2CC12943936C4ACAF8A72038D175DCAC463645430FF7832BD84038AC15A97AA86C749A34E6F71EA39866DA3785BA07C1C64D68BBB5D49001D6F50458EF1B6EB18B06BAA2F737B964524A62A91F0A6D47175B10A12A6D2DB9B9FC658B90128B5F944CD59BE9376D0107C459416366D81DED1938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
Euskaltel luz y gas;Euskaltel Tarifa precio fijo;1 Precio fijo Revisión semestral;48.38;48.38;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1190248E1A9A414492349219E7D836DCC977E5CB58ACE5FC9B9A44787C8C0C7C8570934887BAE570C77A94EEFA8980B80BF55E6C618BE4F57C6D955EC6380B0F6C82F851EC739D3C99089F632E832F65C1BEA7C8ACCEB9F20F8A082E6C7C8F3AEAA1F43B5EA89D915876202B4ED91CA1C744F7EE0D78B3921A58262526BDE91472496979A5C5DA7938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENDESA ENERGÍA S.A.U.;Libre de Endesa;1 Precio fijo Revisión anual;48.39;52.39;Oferta válida solo para nuevos clientes;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C188879CD7E0499AD6D6E4BB04A5167BC6195C9CB7B0B56F992B61477D5D7087218D961084622670B530B5288A512F21563DD9E84DC44D061073B2158CCCCCC6F6AFFC4A3D7BE9044E68F59CB29A1256976FD7617E9A7EF8257E6E648E4949161AF560C1CF6A889F234B4DB6592406019A598CFE0ACFC2E1CFED02A2342CA0C8405056D22AF92137938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERXIA GALEGA MAIS SLU;Máis Estable Única;1 Precio fijo Revisión anual;48.43;48.43;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C110611C4A09FBD7968DC4B5BFBA737A6E9E34C8849D34E016A014217035A0E52A9456AFB3778FB69644C55800A4B0ECDC6AE10521B190380F94E70A248C1DD9EDA57CA08897B87620CF07BA13B14AD1F5FE90894D44A1BE55F45E4B584B7A771D244C7B7A09C6E52FE469AD2FD711F07BDAF3E13A8BF4A1697E73E3795555A25B7B1B86E174CE85938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
DISA ENERGIA ELECTRICA S.L.;ALISIOS TRANQUILIDAD;1 Precio fijo Revisión anual;48.61;53.35;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BEA50A60DBD15B70E82CE001D61EABF164F61DEE2F8AB63A91FF483885807570C8D7ACFC4A3C34BA5F8A3EF6612A20B82D0C43EA5961F313971E2106808C7BDFC07506D9D059FDD1D153FB068E87C0001A3A317F834A61B91CD66B7D03C0DC0116025C317590A9226C96A38C1B4D3A3C4E666C114CE4E418A19F14C9D82B68310F1EFDAF59C51073938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENI PLENITUDE IBERIA, S.L.;Tarifa Fácil Empresas 2.0TD;1 Precio fijo Revisión anual;48.7;48.7;Válida sólo para consumidores no domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BB906DD845981214D99238451606D2EA00969EE0697EAFB87BA42201F3C076156443A4566739E372A4248FBCC0143D79350D9E71D0DBA675340EB696DB5ABD442ED70367E4EE94B193A2B8A4078BA6B308FB01BEC7413D7A7CDB170A758888C485EE31A37819D660C21AE9F136A796B3E66CCB7BC8AE35EFD137C0BCF733C1AC51B2C0A37FB9A98B938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
OCTOPUS ENERGY ESPAÑA, S.L.U.;OCTOPUS GO (Vehículo eléctrico);3 Precios fijos Revisión anual;48.9;48.9;Válida para cualquier consumidor;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BFC9C85D4220CDF21C24587482468DF613EB0556352E34C41289D8586A26C2C71306DEBDBF792FFDBA6FFE119724AD517D785E6E5D8449B33BE3D9FD85A0E3998035805F40F449B12E0C159B9DBAAA5CB5F67F5883460482C8B5A7ED5B74CC5B7247E81C7880A5EA50B8EE43AA5C2B4DF8E02D7F1B1076336B1AC57188C566015D31D649156091CD938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
FENIE ENERGIA, S.A.;Megavatio Uniprecio 2.0TD;1 Precio fijo Revisión anual;49.15;49.15;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C01025A178E7DAF4B898B7954BDF862C9C030E84B070C99A3D0B8367A0879F6154757AAA1238511A1BC02D2A20583137A5B2DC6323E14B5D612C568ECF696BFCB701A930F5DA19C08E0E8A4AC3A1C071CF3497DCC7C4ADABB63AD78AF8F438A1ED7763B8395A8CC2B4D612380EEC3DC65173DD70DD2A070883BBB1CA9A42114EB75CAE0C82E80D31938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA DOMINGOS GRATIS;Flexible Revisión anual;49.2;49.2;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C0983A9BBC33AE145644A4B07ACFD07917230CF45189B4509414C6FB630DD143339B174EE28CF8FC7758D58776F832B86297E821F59ED36A0EB61BFEBC4B6EECE49AFCF6D3B387E7F33519D774C8834D548D49B11BEEC484866A4E32224DABD81F53383524A9052B3C7D85A4068A1DDF5D5C5AC46A482661030FE524BE7E0A7C76A5E03B97F07BD3938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA 10H CON DESCUENTO;Flexible Revisión anual;49.46;49.46;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C1338FBE656D8258E4C7F4462486EF95B2AA395FC23E7F4B2BE0E9A90B660F324B4BA4A5DCD72044C6ECDCE4453E72DFF0881FFF84E0110D22392552C970620B890B9109630AA07DD0D04211A6A4D5DC829D9CCB6F83F652CCB6F61A270B309A5ABC0A495A76BA5161F2FBA7621F1B2CA824CBDA1B98BD0BF5CEEA100213AB490890876898388C37938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - GOLDEN 3 PRECIOS;3 Precios fijos Revisión anual;49.6;49.6;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BFE8517133420D8DCF21B6DE82D163F0C2E6F6001D63403929D09B555B1BA9C19006918013AF263584105FCA1FF768F8FE05AD3E05B64F40B180E49383D619F4DB9C96EA8F74FFC1832EF6219606CC1895720C6670B21D9E349D5728188F1D27EB5C832FC288440E4234ABC10B21EFB27FEB22E805083C4C457D964612C65E3B153AC4D3061DC759938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENDESA ENERGÍA S.A.U.;ONE 3 Periodos;3 Precios fijos Revisión anual;49.62;49.62;Oferta válida solo para nuevos clientes;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C0D5F6B35B5B12DA40237F6565A5B8BC4141CC8E9BDEAFA70B7CE1E481DB8DFAD74700B66047FB78627620A91127CF7FE67DF1351794A6FCEBCCA6443E3C9479124472E3F269D699AA760C4A7B78B13E07AE084222E523CCA8EB3B983150C9A208FCE108A9A2290FBAF7B142E603B07E1556AF188616209E6389C2FEF6E42CDAE5273CEE4C906815938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA LARGO PLAZO PLUS;1 Precio fijo Revisión anual;49.62;49.62;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C07D03367B8AEA4136BBDBAB0B06280364E973AACAEB1EF8E912ECAAA28C941606F9F7FAB8E2710265071A4198D8326B7003B2956545B83452675AE859B7D4BCDB7C529C0DBB3EACDEFA3054EAF3F5EE39E1F2ED0B198CBF8FFA69AA4D3BC8007BC0DA828F32ED16548F3B5B3B6A8AA727C774E6E7A8868283324145EA720BD9B6CA6FCBC6EECC19938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA TRANQUILISIMA;1 Precio fijo Revisión anual;49.62;49.62;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C12EEA303B2B3B73498B231FC04549751D9A25726CD240552DE6D71E612A87DFA794097207AD85EE5FE5271089776C945CF82FD4C9E395C58531F1A022C15435490C932BD7186E8675F1E8400BFD6C8DD57A1D973AB0BAD9C1DC0D861565CB439638E78EC41165092160272A909CD65502E5E94A2483BABA43E144B803564DDC13840A10D2320411938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERXIA GALEGA MAIS SLU;Máis Estable;3 Precios fijos Revisión anual;49.65;49.65;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C0FFC8B2D7AF90ECB546D9BEEBF48FE17ED27FE69CACE64CF94788C47DF34FE298BB7588DEBE688201BB851AAB270828168D62B5AA74FC81710D778C1A641101523B5FADDDED984BDC4734A8EB5B65021DED8117FE523B0E0A9D68CCD02159AEF1991997F332289A002129A643981C12E48CA62835D3357DA4E49316EB8C75AF8297A50442CB316B938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
CATGAS ENERGIA SA;2.0TDL;1 Precio fijo Revisión anual;49.66;49.66;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C070666B768DE0AD6CCDA3F9B1C1AE3D3E06F46FBE7C2AEF80D9DEE91DA1DBA36F2C2E24E403CE17DFA9082776976A79BAEAB8FCD773D74D5F0AAA0370B81CE50935EAB06D4E6DE8E85585AE472D8EF41ACABE3AC4DC347704CCCDCF41E8905E1D3857ACADD6BC76C9DC1F2D02BFCFCB8BD3A03B92265BA4C4D1C9A037025768D483F7021B2635FB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA DESCUENTO DIA;Flexible Revisión anual;49.73;49.73;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C09EDDF91D24A5A57D2DCF799C522B8310A7BBB514B6A08B6C9E9853C3F524DDD4583E2B37A3D577E5F6226CCC5DA96D7E8A1AA82550A8198152AEFDF38EA743892BD557E4C46192750507DE51B7AC06DE2DB644D51C87317159E397F25E85C1CA57B2F68DCC11494F986C0D31D68038004879DB38F872D5B81A3F102A67FDAA6700DC6FD7678777938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
REPSOL COMERCIALIZADORA DE ELECTRICIDAD Y GAS, S.L.U;TARIFA DISCRIMINACIÓN HORARIA;3 Precios fijos Revisión anual;49.74;49.74;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BF7A1FFCB6D5332449365706F02A497E61B2D44D0F132201EC140833DF4ED7878A290C69C266DA348B10635196631CD42E1E0024212E5179DC8CF606EE7A3F89C96B5BD2742A15B3184CED494284C1AA4271686BD520E467C57AA7279AAA95676E12270B8ADC14816B762155A2C78F2655CEB86D6ACCE0BAEE9E8E6879CDFFDA18EE03D61BCC061D938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
TELECOR S.A. UNIPERSONAL;Benefíciate;3 Precios fijos Revisión anual;49.74;51.63;Válida sólo para consumidores domésticos;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BE08615EB8CDBC0F51E154AA58E71439312134F5CB002267687DFBAC636059FC5DCE17DFA553E159603D283881CF959F9985352526FD24809FE22D7F685A17162E4DE11A3D992019D9C26FFE307B987F03D6957AD778D5C84126A5B3D5665EDCEB98A4C35DEF24C3101BCC4083DC2943AFD527F70BD771565777977C4BCD638E80555744B331FDBB938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
CIDE HCENERGÍA S.A.U;Plan Ilumina Promo;1 Precio fijo Revisión trimestral;50.22;50.22;Válida para cualquier consumidor;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BFD26989D9C0762ECEB9DCE061099DE971E44EEA661BCE43C5A3687E81B9E2A9B0C99142947D4E9E30A2E2088628947021CCD35001EB77CA8415CC494D78467089583343D723CB0ED6CD97D7BCF192811C13D94BC0CE4E6393B9EA24E9F11AD803CDBAE4B46168DE365BE6992F72AB279979891CC15C0CCB2341D3F061DBEEF048DB5159CE4820EF938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
SUOP;SUOP. PRECIO ÚNICO;1 Precio fijo Revisión anual;50.22;50.22;Válida sólo para consumidores domésticos;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C08252B462B216B555DCCAB259080A71C62065DE9A42425B2FE7942489AC0A2B545E1711635B216523EB57C5DD295E2F865F0E33F1D3FBF3E14B03B485ED9B68925699501B62533546D3BB8D9BB349B5DB2F16966C0AF549E586E12EF3AFA98837C46FEA168229FB30A4C07C2ADAD95476EAC0F9269BF6DFE0D422CF0D939B31AA466CC2601AD569938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
ENERGIA NUFRI SL;ENERGIA NUFRI - GOLDEN 1 PRECIO;1 Precio fijo Revisión anual;50.44;50.44;Oferta válida solo para nuevos clientes;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6BFE8FB60F026F31C5305D4BF6C91A03E8F0DD446974E24A572AB304497FF988439B31562E8FE3C41DBECE77AA8818E7180D118B1D74817B8A35D59AD095CD2CA5277DFC11129E252902A2788AC1EB691899BB0DB9CD04AAF7F4EE618AD5D9958E2DCF5DCB3722BAADDB75C65290FF98829CF8C6A4CE6AA57F131D277372A902613AA4471D9434883938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
CLEARVIEW ENERGY S.L.;CLARITY ENERGY - TARIFA OPTIMA - ENERGIA GRATIS 2 MESES;1 Precio fijo Revisión anual;50.5;10.63;Válido para clientes domésticos, pequeños negocios y comunidades de propietarios.;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C13191EF2EBED1AD591B9AA367463AAC4E359E8C547DD20651512ADB54BA42EA4E4618FD5CE9DE1FBF5745D2ABA002766825DDA4102AB7A54CA3C60638DC378B2479B685DDEBF8CAA9DEADDC645D1671A620AF6BEB296F1EECA24948689FBC07743AB24287B9037B8F6AE9BB0854FDABAA778F5343FD72E8F2B2357C94E715880D42088C1EC808B9938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
IBERDROLA CLIENTES, S.A.U.;2.0TD Plan Comercio (0-10kW);Flexible Revisión cada cinco años;50.65;56.19;Válida para consumidores domésticos y pequeños negocios;Ninguno;No;Sí;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C150C4F2DCC4F6D78FFD16EE51914CF4C9586D7CB69DC1E7B17282C7829318A774F24FA2866EEA63E0D42F3BBCFCE3966B7E97E789EE85AAB41D45B5BC9826BBF6BC15E7AE21916C0BFCBFC972C122A679C5E0EF04B3B54BA33B8773BA888904E4CFC002C2AA893C1C6957DC8708CBE5DB66EE3E75D3A70D78C94282434C3FACC3BA76B4E2AABF6F938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
SUOP;SUOP. PRECIO POR TRAMO;3 Precios fijos Revisión anual;50.68;50.68;Válida sólo para consumidores domésticos;Ninguno;No;No;https://comparador.cnmc.gob.es/comparador/detalle/45C0D07B549A6D31FC1EEE539BA8449BF7B203458D7930EFC70D612FFB61A8D62528989F228F6C082FCA41F96FC43D9C0E89342C846BF92474425142D26C778C22913C68FF8EDFE0A9AF438AA37717BC7DF7665B383A8092A79A7C365C46BD32778CE0B74543E0931E2269D1735C653CEECF4B1CB342ECF58BB0B9829225B3038701F887E25B92F44E297076C1197CC27712048C8E32A20CF2A7B6E7A64EB8C885F0031F7CD1CA8B5EC6133405693938845CD9274E86AABB1D64FBFDFF5388CD3C00000000000000000000000000000000000088D8CFDAD2E5DA821F4DF93B3B810D4000000088B8
